date,buy_usd,buy_btc,price_usd
2025-10-18,6.3912,5.992332379803162e-05,106656.3
2025-10-19,6.3888,5.981815236738053e-05,106803.7
2025-10-20,6.1621,5.675813340431823e-05,108567.7
2025-10-21,6.0509,5.525229651003525e-05,109514.0
2025-10-22,6.2531,5.7805461340847095e-05,108174.9
2025-10-23,6.2472,5.764700345760216e-05,108369.9
2025-10-24,5.9418,5.364421905851317e-05,110763.1
2025-10-25,5.9243,5.333958778257565e-05,111067.6
2025-10-26,5.8942,5.289171654447724e-05,111439.0
2025-10-27,5.4348,4.722315870693281e-05,115087.6
2025-10-28,5.5959,4.9082751875940165e-05,114009.5
2025-10-30,6.0731,5.4856821807237405e-05,110708.2
2025-10-31,6.374,5.867510616107025e-05,108632.1
2025-11-01,6.2259,5.66762736890784e-05,109850.2
2025-11-02,6.2268,5.661746387076946e-05,109980.2
2025-11-03,6.411,5.894245594485832e-05,108767.1
2025-11-04,6.7425,6.33061737250977e-05,106506.2
2025-11-05,7.4359,7.305568655191386e-05,101784.0
